source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_distance
3435571660360952704,97.1420315646441,30.49297626134697,1.815289104200057,0.12219129,5.3362513,5.6369534,4.8092065,"RT Aur",97.14203128583334,30.493031713333334,0.0,-1.71,-15.73,20.3,1.6447972228277344E-5
5932565900081831040,242.83526242559228,-54.35413510060747,0.4591116031656825,0.020244818,8.623737,9.117518,7.9469566,"QZ Nor",242.835275792837,-54.3541183469166,0.4744,-1.746,-3.763,-40.34,4.1948084787920814E-8
5932565900082035200,242.83705825840175,-54.35433738532451,-0.06791851182997563,0.2678334,17.999218,,,"QZ Nor",242.835275792837,-54.3541183469166,0.4744,-1.746,-3.763,-40.34,0.0010659075689962378
2031776202613700480,296.2030594851332,29.264678772203364,1.0275263756728068,0.052163765,6.798264,7.175367,6.286498,"SU Cyg",296.2030685407965,29.2646928189066,1.1695,-1.853,-3.155,-13.46,3.3655276934015606E-7
1977074811886647168,332.26250779616703,51.04465753802133,0.49067781176064756,0.06369435,15.631713,15.5759945,14.68774,"Y Lac",332.2620830042727,51.0458564358997,0.4034,-3.022,-2.588,-22.9,0.0012200774829875599
1977074811892425472,332.26151489200583,51.04500043818713,1.4630666510419803,0.057559486,15.380529,,,"Y Lac",332.2620830042727,51.0458564358997,0.4034,-3.022,-2.588,-22.9,9.117741294887851E-4
1977074811892425600,332.26206158309327,51.045844895971065,0.4085105013563146,0.012896581,9.062985,9.470252,8.430667,"Y Lac",332.2620830042727,51.0458564358997,0.4034,-3.022,-2.588,-22.9,5.2369992761079666E-8
1977074846246387072,332.2632208975703,51.04595694003638,0.43168822383080735,0.041698642,12.526609,,,"Y Lac",332.2620830042727,51.0458564358997,0.4034,-3.022,-2.588,-22.9,7.373783027123911E-4
1857884212378132096,312.86767706101796,28.25048193690742,1.6884589957523126,0.058201324,5.499797,5.828832,5.005271,"T Vul",312.8676593760823,28.2505046126033,1.6738,3.496,-5.087,-2.6,7.819825032382562E-8
4514145288240593408,284.56144590723324,17.360872330389174,1.905742908165168,0.071183674,5.170657,5.599523,4.5438147,"FF Aql",284.5614509240737,17.360915441721946,1.8098,-1.068,-9.693,-15.92,5.208830857247583E-8
5521459979795304320,129.42006775171353,-47.361948684366475,0.9309187277868931,0.01592531,7.774636,8.305958,7.052883,"T Vel",129.4201118695572,-47.361967317718,0.8517,-6.73,4.174,8.0,8.662786346796682E-8
1960750328384176512,327.9210856105391,43.133918353096945,0.605869015291208,0.14053732,17.350664,15.466118,14.463044,"VZ Cyg",327.9226729769581,43.1340383348488,0.435,-3.939,-3.411,-15.1,0.0011456903903842113
1960750328384177408,327.9226489646837,43.13402308886666,0.5199990112328283,0.016358558,8.745005,9.251616,8.053975,"VZ Cyg",327.9226729769581,43.1340383348488,0.435,-3.939,-3.411,-15.1,8.753615043006335E-8
4080122796947250176,281.322899483177,-20.64739456406258,0.7739499433712301,0.061608456,7.2488747,7.8091803,6.5574236,"V350 Sgr",281.3229008377471,-20.6473810297101,0.9859,-0.277,-3.003,11.6,1.9119547270872155E-7
4080122796990385024,281.321609663747,-20.64694866139339,0.33471693574293543,0.08993817,15.671777,15.145437,13.850945,"V350 Sgr",281.3229008377471,-20.6473810297101,0.9859,-0.277,-3.003,11.6,0.0012866761292514915
1960981328902089088,330.10475637178973,43.44535204903554,0.5554901042127909,0.018668812,8.614144,9.158546,7.907371,"BG Lac",330.1047786134045,43.4453693324274,0.5094,-3.638,-3.877,-18.6,5.626155599511753E-8
