index ;typed ident;       identifier        ;typ;       coord1 (ICRS,J2000/2000)        ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;#bib;#not
166;DV SER     ;V* DV Ser                ;cC*;18 40 12.9568691357 -02 23 03.326073737;     ~;     ~;     ~;     ~;     ~;~              ;  15;   0
167;DU ARA     ;V* DU Ara                ;WV*;17 23 12.6094173344 -63 53 47.491830623;     ~;12.21 ;     ~;     ~;     ~;~              ;  20;   0
168;DT CYG     ;V* DT Cyg                ;cC*;21 06 30.2442673195 +31 11 04.765587914; 6.70 ; 6.38 ; 5.82 ;     ~;     ~;F7II-          ; 289;   0
169;EP CYG     ;V* EP Cyg                ;cC*;19 45 03.6873923123 +31 19 50.910767513;     ~;13.96 ;     ~;     ~;11.272;~              ;  35;   0
170;EN TRA     ;V* EN TrA                ;Ce*;14 57 00.6830179855 -68 50 22.901317885;     ~; 9.42 ; 8.70 ;     ~;     ~;F2Ib           ;  63;   0
171;EN LYR     ;V* EN Lyr                ;RR*;19 14 54.3100532586 +34 46 01.985956635;     ~;     ~;     ~;12.91 ;     ~;~              ;  16;   0
172;EK PUP     ;V* EK Pup                ;cC*;07 41 49.7231043968 -25 02 30.448624645;     ~;11.39 ;10.69 ;     ~;     ~;~              ;  33;   0
173;ET CAR     ;V* ET Car                ;cC*;10 11 24.3411209280 -61 29 10.211116473;     ~;     ~;     ~;     ~;     ~;~              ;   7;   0
174;ER CAR     ;V* ER Car                ;cC*;11 09 41.1427308840 -58 50 15.811006640;     ~; 7.59 ; 6.79 ;     ~; 5.962;G1Iab/b        ; 117;   0
175;ER AUR     ;V* ER Aur                ;cC*;05 13 09.9827679367 +41 59 25.889070826;     ~;12.65 ;11.63 ;11.040;     ~;~              ;  40;   0
176;ETA AQL    ;* eta Aql                ;cC*;19 52 28.3677478 +01 00 20.369619      ; 5.12 ; 4.61 ; 3.80 ;     ~; 3.030;F6Iab+B9.8V    ; 628;   0
177;ET VUL     ;V* ET Vul                ;WV*;19 35 20.1039147934 +26 25 48.868686263;     ~;13.84 ;12.19 ;11.82 ;     ~;~              ;  20;   0
178;EU TAU     ;V* EU Tau                ;cC*;05 45 40.5287885881 +18 39 24.820727851;     ~; 8.71 ; 8.08 ;     ~;     ~;G5             ; 100;   0
179;EU CYG     ;V* EU Cyg                ;Ce*;19 51 17.2842341614 +32 40 31.963155970;     ~;14.60 ;     ~;     ~;     ~;~              ;  26;   0
180;EV AUR     ;V* EV Aur                ;LP*;04 51 24.4162447014 +42 47 00.010739915;     ~;     ~;     ~;     ~;     ~;~              ;   8;   0
181;EV AQL     ;V* EV Aql                ;Ce*;19 06 46.1545142889 +14 55 46.258176616;     ~;12.95 ;11.63 ;     ~;     ~;~              ;  42;   0
182;EW CAR     ;V* EW Car                ;cC*;10 20 49.7024236985 -61 15 07.057718632;     ~;     ~;     ~;     ~;     ~;~              ;   6;   0
183;EW AUR     ;V* EW Aur                ;cC*;04 51 24.8479090059 +38 11 18.786536871;     ~;14.60 ;     ~;     ~;     ~;~              ;  37;   0
184;EV SCT     ;V* EV Sct                ;cC*;18 36 39.6017832876 -08 11 05.360422056;     ~;10.99 ; 9.90 ;     ~;     ~;G0II           ; 223;   0
185;EW TRA     ;V* EW TrA                ;WV*;16 21 28.1263321565 -61 31 20.851670625;     ~;     ~;     ~;     ~;     ~;~              ;   4;   0
186;EW SCT     ;V* EW Sct                ;cC*;18 37 51.1111080562 -06 47 48.495390706;     ~; 9.50 ; 7.96 ;     ~;     ~;F8Ib/II        ;  95;   0
187;EZ CYG     ;V* EZ Cyg                ;cC*;19 57 49.0090607475 +30 15 57.291421972;     ~;12.45 ;11.21 ;     ~;     ~;G5V            ;  38;   0
188;EY SGR     ;V* EY Sgr                ;Mi*;19 37 22.5906098023 -12 08 35.979203187;     ~;     ~;     ~;     ~;     ~;~              ;   7;   0
189;EY CAR     ;V* EY Car                ;cC*;10 42 23.0316241313 -61 09 57.293215563;     ~;11.05 ;10.35 ;     ~;     ~;~              ;  58;   0
190;EX VEL     ;V* EX Vel                ;cC*;09 20 01.5130344053 -52 51 22.325399039;     ~;12.47 ;11.55 ;     ~;     ~;~              ;  45;   0
191;EX MUS     ;V* EX Mus                ;Ce*;13 47 24.8982602368 -68 14 59.615931729;     ~;15.23 ;14.23 ;13.78 ;     ~;~              ;   5;   0
192;EX CYG     ;V* EX Cyg                ;cC*;19 54 23.3891636030 +31 13 36.974163667;     ~;14.63 ;     ~;     ~;     ~;~              ;  26;   0
193;EX CAS     ;V* EX Cas                ;cC*;00 02 41.7774578992 +61 51 39.858384586;     ~;14.31 ;     ~;     ~;     ~;~              ;  27;   0
194;EZ VEL     ;V* EZ Vel                ;cC*;09 25 07.3812190007 -53 12 35.558567086;     ~;     ~;     ~;     ~;     ~;~              ;  38;   0
195;FK CAR     ;V* FK Car                ;cC*;10 53 56.3418672465 -59 57 52.953780777;     ~;     ~;     ~;     ~;     ~;~              ;  17;   0
196;FI MON     ;V* FI Mon                ;cC*;07 10 37.9924208298 -07 07 22.461492125;     ~;14.07 ;     ~;     ~;     ~;~              ;  39;   0
197;FI CAR     ;V* FI Car                ;cC*;10 51 01.8253337469 -58 35 26.155323058;     ~;12.62 ;11.53 ;     ~; 9.838;~              ;  45;   0
198;FH CAR     ;V* FH Car                ;cC*;10 48 18.5786489589 -60 39 02.825849345;     ~;12.24 ;10.43 ;     ~;     ~;~              ;  11;   0
199;FG VEL     ;V* FG Vel                ;cC*;09 33 23.7301483119 -52 45 21.104299822;     ~;     ~;     ~;     ~;     ~;~              ;  27;   0
200;FG MON     ;V* FG Mon                ;cC*;07 07 08.5490285558 -07 47 42.473450631;     ~;14.44 ;     ~;     ~;     ~;~              ;  34;   0
201;FF CAR     ;V* FF Car                ;cC*;10 44 54.0881730011 -58 17 52.684863035;     ~;     ~;     ~;     ~;     ~;~              ;  15;   0
202;FF AUR     ;V* FF Aur                ;cC*;04 55 18.1146186063 +39 58 46.982342399;     ~;     ~;     ~;     ~;     ~;~              ;  29;   0
203;FM CAR     ;V* FM Car                ;cC*;11 00 25.0537610756 -60 59 35.503495899;     ~;     ~;     ~;     ~;     ~;~              ;  14;   0
204;FM AQL     ;V* FM Aql                ;cC*;19 09 15.9901683300 +10 33 08.958768391; 9.76 ; 9.05 ; 7.89 ;     ~; 6.725;F2I            ; 165;   0
205;FN VEL     ;V* FN Vel                ;Ce*;09 48 41.4896478034 -55 31 10.351022956;     ~;11.24 ;10.25 ;     ~;     ~;F9II+?         ;  31;   0
206;FN CAR     ;V* FN Car                ;cC*;11 01 14.3899049878 -60 06 59.665050967;     ~;12.30 ;11.66 ;     ~;     ~;~              ;  40;   0
207;FN AQL     ;V* FN Aql                ;cC*;19 12 47.3150076412 +03 33 26.704507437;     ~; 9.58 ; 7.96 ;     ~;     ~;F8/G0Iab/b     ; 162;   0
208;FY VIR     ;V* FY Vir                ;WV*;12 14 13.5366117239 +06 01 17.125515867;     ~;     ~;16.41 ;     ~;     ~;~              ;   9;   0
209;FW LUP     ;V* FW Lup                ;RR*;15 22 25.3817579258 -40 55 36.231501429;     ~; 9.54 ; 9.05 ;     ~;     ~;F5IV           ;  49;   0
210;FW CAS     ;V* FW Cas                ;cC*;00 36 44.5102048637 +62 16 27.251055130;     ~;13.98 ;     ~;     ~;     ~;~              ;  22;   0
211;FT MON     ;V* FT Mon                ;cC*;06 21 36.0795073297 +04 04 24.841589393;     ~;11    ;     ~;12.23 ;     ~;~              ;  35;   0
212;FR CAR     ;V* FR Car                ;cC*;11 14 21.2158959674 -60 03 10.529100644;     ~;10.7  ; 9.64 ;     ~;     ~;G5             ;  69;   0
213;FQ LAC     ;V* FQ Lac                ;Ce*;22 54 37.6968403768 +54 15 55.625972552;     ~;     ~;     ~;     ~;     ~;~              ;  13;   0
214;FQ CAR     ;V* FQ Car                ;cC*;11 10 12.8689203304 -60 50 50.898800878;     ~;     ~;     ~;     ~;     ~;~              ;  19;   0
215;FO CAS     ;V* FO Cas                ;cC*;00 17 02.5025198024 +60 48 10.101461315;     ~;15.67 ;     ~;     ~;     ~;~              ;  20;   0
216;FO CAR     ;V* FO Car                ;cC*;11 01 30.6899880884 -62 17 26.861247700;     ~;11.80 ;10.96 ;     ~;     ~;~              ;  32;   0
217;FZ CAR     ;V* FZ Car                ;cC*;10 54 01.7801923864 -59 11 58.870896171;     ~;12.87 ;     ~;     ~;     ~;~              ;  27;   0
218;GH CYG     ;V* GH Cyg                ;cC*;19 59 10.7973446059 +29 27 02.682302641;     ~;11.21 ; 9.94 ;     ~; 8.445;F5             ;  64;   0
219;GH CAR     ;V* GH Car                ;cC*;11 10 44.5952256676 -60 45 01.013529557;10.54 ; 9.92 ; 9.04 ; 8.61 ; 8.05 ;F8             ;  69;   0
220;GH LUP     ;V* GH Lup                ;Ce*;15 24 38.3402443807 -52 51 13.896895820;10.03 ; 9.05 ; 7.83 ;     ~;     ~;G2Iab          ;  84;   0
221;GP AUR     ;V* GP Aur                ;WV*;06 26 18.3868246670 +42 41 56.183402915;     ~;     ~;     ~;     ~;     ~;~              ;   2;   0
222;GO CAS     ;V* GO Cas                ;cC*;02 35 05.7802960355 +59 23 02.672842455;     ~;14.85 ;     ~;     ~;     ~;~              ;  25;   0
223;GM CAS     ;V* GM Cas                ;cC*;02 26 56.6910992757 +60 34 17.103829174;     ~;13.55 ;11.25 ;     ~;     ~;~              ;  23;   0
224;GL CYG     ;V* GL Cyg                ;Ce*;20 03 34.7010489793 +39 09 34.731811876;     ~;14.20 ;     ~;     ~;     ~;F5             ;  29;   0
225;GL CAS     ;V* GL Cas                ;cC*;02 10 46.3727819218 +59 15 13.300369095;     ~;14.03 ;     ~;     ~;     ~;~              ;  23;   0
226;GI CYG     ;V* GI Cyg                ;cC*;19 59 33.7106890957 +33 44 45.823301383;     ~;13.20 ;     ~;     ~;10.014;~              ;  34;   0
227;GI CAR     ;V* GI Car                ;cC*;11 14 00.0420697293 -57 54 39.268213102; 9.22 ; 9.43 ; 9.13 ; 8.83 ;     ~;F3/5Iab/b      ;  90;   0
228;GX CAR     ;V* GX Car                ;cC*;09 55 26.1600428727 -58 25 46.921352864;     ~;10.46 ; 9.42 ; 9.53 ; 8.148;F8II           ;  58;   0
229;GW SCO     ;V* GW Sco                ;Ce*;16 50 52.0336145679 -27 58 22.118938394;     ~;13.50 ;     ~;     ~;     ~;~              ;   6;   0
230;GV AUR     ;V* GV Aur                ;cC*;05 44 14.0002147362 +37 35 12.735789058;     ~;     ~;     ~;     ~;     ~;~              ;  25;   0
231;GU NOR     ;V* GU Nor                ;cC*;16 14 54.7527637745 -53 20 18.342856523;     ~;11.60 ;10.08 ;     ~; 8.802;~              ;  77;   0
232;GT CAR     ;V* GT Car                ;cC*;10 59 26.0577911997 -59 29 11.025374756;     ~;14.10 ;     ~;     ~;     ~;~              ;  22;   0
233;GT AUR     ;V* GT Aur                ;cC*;05 36 26.7541298848 +44 35 28.907574442;     ~;     ~;     ~;     ~;     ~;~              ;  17;   0
234;GS CAR     ;V* GS Car                ;cC*;10 51 54.1004489973 -61 28 02.240837971;     ~;     ~;     ~;     ~;     ~;~              ;  15;   0
235;GR NOR     ;V* GR Nor                ;Ce*;16 08 13.16 -58 57 09.3                ;     ~;13.1  ;     ~;     ~;     ~;~              ;  12;   0
236;GQ VUL     ;V* GQ Vul                ;cC*;19 47 58.0160823636 +26 00 00.434582194;     ~;15.88 ;     ~;     ~;     ~;~              ;  16;   0
237;GQ ORI     ;V* GQ Ori                ;cC*;06 11 13.5830093624 +09 36 44.986218991;     ~; 9.81 ; 8.88 ;     ~; 7.869;B              ;  69;   1
238;GP PER     ;V* GP Per                ;Ce*;04 23 19.1737333013 +44 14 12.740209377;     ~;13.40 ;     ~;     ~;     ~;~              ;  18;   0
239;GX SGE     ;V* GX Sge                ;cC*;19 31 10.4832429511 +19 15 25.434013692;     ~;14.47 ;     ~;     ~;     ~;~              ;  28;   0
240;GZ NOR     ;V* GZ Nor                ;LP*;16 31 54.1443235687 -55 33 07.477618440;     ~;     ~;     ~;     ~;     ~;~              ;   5;   0
241;GZ CAR     ;V* GZ Car                ;cC*;10 20 20.3714748543 -59 22 35.832285032;     ~;11.15 ;10.20 ;     ~;     ~;G5             ;  81;   0
242;GY SGE     ;V* GY Sge                ;LP*;19 35 13.6267912014 +19 12 08.666171766;13.62 ;11.84 ; 9.84 ;     ~;     ~;~              ; 101;   0
243;HR AUR     ;V* HR Aur                ;RR*;06 31 11.0206507900 +30 56 15.956563064;     ~;12.31 ;11.19 ;10.57 ;     ~;~              ;  17;   0
244;HQ PER     ;V* HQ Per                ;Ce*;04 43 57.8806998785 +40 50 05.207699721;     ~;     ~;     ~;     ~;     ~;F              ;  32;   0
245;HQ CRA     ;V* HQ CrA                ;WV*;18 11 53.7388708507 -37 39 14.870584621;     ~;     ~;     ~;     ~;     ~;~              ;  13;   0
246;HQ CAR     ;V* HQ Car                ;cC*;10 20 31.9898303153 -61 14 57.414334235;     ~;12.50 ;11.7  ;     ~;     ~;~              ;  24;   0
247;HL PUP     ;V* HL Pup                ;Ce*;08 11 10.8106560510 -33 30 57.155847723;     ~;11.48 ;10.81 ;     ~;     ~;~              ;  20;   0
248;HK CAS     ;V* HK Cas                ;cC*;00 57 20.0470467866 +55 26 19.793603298;     ~;     ~;     ~;     ~;     ~;~              ;  20;   0
249;HK CAR     ;V* HK Car                ;cC*;11 03 45.21945 -60 38 32.2099          ;     ~;10.90 ;     ~;     ~;     ~;G5             ;  31;   0
250;IM CAR     ;V* IM Car                ;cC*;10 55 09.0925223101 -60 32 51.829618084;     ~;     ~;     ~;     ~;     ~;~              ;  15;   0
251;IK HYA     ;V* IK Hya                ;RR*;12 04 47.2725767034 -27 40 43.270823299;     ~;10.46 ;10.23 ;     ~;     ~;A2w            ;  38;   0
252;IK CAR     ;V* IK Car                ;cC*;10 48 57.5919966240 -64 10 27.167211023;     ~;     ~;     ~;     ~;     ~;~              ;  12;   0
253;II NOR     ;V* II Nor                ;Ce*;16 23 35.4619355140 -53 55 14.207932209;     ~;     ~;     ~;     ~;     ~;~              ;   4;   0
254;II CAR     ;V* II Car                ;cC*;10 48 49.0538873707 -60 03 46.987220753;     ~;     ~;     ~;     ~;     ~;~              ;  20;   0
255;HZ PER     ;V* HZ Per                ;cC*;04 25 37.2939553772 +45 37 13.143527392;     ~;15.89 ;     ~;     ~;     ~;~              ;  34;   0
256;HW PUP     ;V* HW Pup                ;cC*;07 57 42.1676771396 -27 36 06.840883085;     ~;13.35 ;     ~;     ~;10.51 ;~              ;  44;   0
257;HW CAR     ;V* HW Car                ;cC*;10 39 20.3294249682 -61 09 08.793562573;     ~;10.10 ; 9.09 ;     ~; 8.018;G2/3Ib/II      ;  40;   0
258;HS CAR     ;V* HS Car                ;cC*;10 24 34.1859117834 -59 32 09.523806467;     ~;     ~;     ~;     ~;     ~;~              ;  16;   0
259;IQ NOR     ;V* IQ Nor                ;cC*;15 12 49.5173442606 -54 45 18.976899591;     ~;10.77 ; 9.71 ;     ~;     ~;~              ;  36;   0
260;IP CAR     ;V* IP Car                ;cC*;11 01 28.4490840693 -64 17 26.427476533;     ~;     ~;     ~;     ~;     ~;~              ;   8;   0
261;IO CAS     ;V* IO Cas                ;cC*;01 47 02.7158901133 +59 36 22.527290973;     ~;14.84 ;     ~;     ~;     ~;~              ;  26;   0
262;IO CAR     ;V* IO Car                ;Ce*;10 56 26.2188306299 -60 43 57.668670071;     ~;11.81 ;     ~;     ~;     ~;~              ;  34;   0
263;IN AUR     ;V* IN Aur                ;cC*;05 15 27.1853724564 +37 22 20.865027638;     ~;15.28 ;     ~;     ~;     ~;~              ;  20;   0
264;IR CEP     ;V* IR Cep                ;cC*;21 57 51.9255446770 +61 01 07.903989255;     ~; 8.68 ; 7.86 ;     ~;     ~;G0             ;  80;   1
265;IZ CEN     ;V* IZ Cen                ;cC*;11 41 19.4531766863 -62 15 53.144517876;     ~;     ~;     ~;     ~;10.375;~              ;  17;   0
266;IY CYG     ;V* IY Cyg                ;Ce*;19 55 33.8034254496 +31 45 50.014357885;     ~;13.90 ;     ~;     ~;     ~;~              ;  25;   0
267;IY CEP     ;V* IY Cep                ;Ce*;22 07 35.4557467242 +55 21 45.899077177;     ~;14.29 ;12.81 ;12.47 ;     ~;~              ;  17;   0
268;IX CAS     ;V* IX Cas                ;WV*;00 04 50.8166633529 +50 14 05.538514833;     ~;12.04 ;11.36 ;     ~;     ~;F7             ;  52;   0
269;IU CYG     ;V* IU Cyg                ;WV*;19 50 08.2480165514 +34 09 57.584204571;     ~;13.81 ;     ~;     ~;12.025;~              ;  22;   0
270;IU CEN     ;V* IU Cen                ;Ce*;14 07 30.9145427580 -56 41 55.050181720;     ~;     ~;     ~;     ~;     ~;~              ;   8;   0
271;IT LAC     ;V* IT Lac                ;cC*;22 09 18.5628736061 +51 24 19.425596079;     ~;     ~;     ~;     ~;     ~;~              ;  10;   0
272;IT CAR     ;V* IT Car                ;cC*;11 12 10.1254635827 -61 45 17.549239865; 9.49 ; 8.83 ; 7.90 ;     ~; 7.064;F8Iab/b        ;  89;   0
273;KL AQL     ;V* KL Aql                ;cC*;20 01 09.8186943405 +15 48 12.683470370;     ~;10.95 ;10.14 ;     ~;     ~;hF4mF7/8       ;  74;   0
274;KK CEN     ;V* KK Cen                ;cC*;11 42 48.2149125366 -58 59 36.223791416;     ~;12.77 ;13.68 ;     ~; 9.562;~              ;  62;   1
275;KK CAS     ;V* KK Cas                ;cC*;23 49 56.0235323006 +59 56 26.528922935;     ~;13.54 ;     ~;     ~;     ~;~              ;  21;   1
276;KAPPA PAV  ;* kap Pav                ;WV*;18 56 57.0309200480 -67 14 00.566631622;     ~; 5.08 ; 4.40 ;     ~;     ~;G5Iab/b        ; 116;   0
277;KO CEP     ;V* KO Cep                ;cC*;22 10 58.3275750645 +56 17 29.702859835;     ~;16.05 ;     ~;     ~;     ~;~              ;  14;   0
278;KN CEN     ;V* KN Cen                ;cC*;13 36 36.8945451169 -64 33 29.916343439;     ~;11.22 ; 9.86 ;     ~;     ~;G8Iab+B6.0V    ; 119;   0
279;KZ PUP     ;V* KZ Pup                ;RR*;07 52 36.5123719433 -17 23 00.728042454;     ~;12.58 ;12.06 ;     ~;     ~;~              ;  18;   0
280;KZ CEN     ;V* KZ Cen                ;WV*;12 01 55.189 -46 16 41.48              ;     ~;12.91 ;12.21 ;     ~;     ~;~              ;  19;   0
281;KX CYG     ;V* KX Cyg                ;cC*;20 24 19.3461117557 +40 33 39.913092752;     ~;14.14 ;11.72 ;10.71 ;     ~;~              ;  38;   0
282;KQ SCO     ;V* KQ Sco                ;cC*;16 51 38.5473466715 -45 25 36.105341336;12.37 ;10.69 ; 9.31 ;     ~;     ~;K7             ; 112;   0
283;KQ CRA     ;V* KQ CrA                ;WV*;17 59 34.4837139652 -39 35 06.787622940;     ~;12.88 ;12.04 ;     ~;     ~;~              ;  12;   0
284;LR PUP     ;V* LR Pup                ;Ce*;07 57 03.7141192256 -28 09 41.731107315;     ~;13.07 ;11.85 ;     ~;     ~;~              ;  16;   0
285;LQ PUP     ;V* LQ Pup                ;Ce*;07 56 12.4847249515 -32 36 09.560248701;     ~;     ~;     ~;     ~;     ~;~              ;   4;   0
286;LL PUP     ;V* LL Pup                ;Ce*;07 53 48.7816251245 -30 27 37.162146508;     ~;12.13 ;11.32 ;     ~;     ~;~              ;  13;   0
287;MQ AQL     ;V* MQ Aql                ;WV*;19 40 55.6949124779 +12 37 10.003539604;     ~;     ~;     ~;     ~;     ~;~              ;   9;   0
288;MM PER     ;V* MM Per                ;cC*;03 45 23.3537632397 +48 05 00.539676795;     ~;11.67 ;10.93 ;     ~;     ~;~              ;  27;   0
289;LV CEN     ;V* LV Cen                ;cC*;11 33 17.7977262030 -63 14 32.663220430;     ~;     ~;     ~;     ~;10.679;~              ;  19;   0
290;LT CAS     ;V* LT Cas                ;cC*;02 45 51.4919211307 +63 18 16.461679657;     ~;13.76 ;     ~;     ~;     ~;~              ;  26;   0
291;LR TRA     ;V* LR TrA                ;cC*;15 30 49.8226065960 -65 35 57.574567209;     ~; 8.61 ; 7.80 ;     ~;     ~;F8II           ;  46;   0
292;MY CEN     ;V* MY Cen                ;cC*;13 11 04.4634885633 -61 37 37.392271897;     ~;13.13 ;     ~;     ~;     ~;~              ;  21;   0
293;MW CYG     ;V* MW Cyg                ;cC*;20 12 22.8297860287 +32 52 17.840728795;     ~;10.71 ; 9.45 ;     ~; 7.882;F8.5-G2Ib      ; 100;   0
294;MU CEP     ;V* MU Cep                ;Ce*;22 23 38.6259797726 +57 40 50.841775021;     ~;13.5  ;     ~;     ~;     ~;~              ;  26;   1
295;NT PUP     ;V* NT Pup                ;cC*;07 58 46.3396293858 -38 59 39.657439618;     ~;11.0  ;     ~;     ~;     ~;~              ;  21;   0
296;NP CAS     ;V* NP Cas                ;cC*;00 23 57.6522277931 +62 57 00.552629842;     ~;15.35 ;     ~;     ~;     ~;~              ;  16;   0
297;NO CAS     ;V* NO Cas                ;Ce*;00 24 04.6459041557 +61 20 29.929177342;13.22 ;12.74 ;11.4  ;     ~;     ~;G:I:e:         ;  21;   0
298;NN VUL     ;V* NN Vul                ;WV*;19 29 53.9884962016 +25 14 57.000942639;     ~;15.69 ;14.18 ;13.85 ;     ~;~              ;   9;   0
299;MZ MON     ;V* MZ Mon                ;LP*;07 16 19.0464271059 -02 18 47.372404764;     ~;     ~;     ~;     ~;     ~;M6             ;   5;   0
300;MZ CYG     ;V* MZ Cyg                ;WV*;21 21 54.7239732299 +37 27 33.099617919;     ~;13.16 ;12.14 ;     ~;     ~;G1             ;  33;   0
301;MZ CEN     ;V* MZ Cen                ;Ce*;13 14 01.6847887403 -64 19 29.557435952;     ~;12.69 ;11.24 ;     ~;     ~;~              ;  31;   0
302;MY PUP     ;* y03 Pup                ;cC*;07 38 18.2087613998 -48 36 05.159134325;     ~; 6.32 ; 5.68 ;     ~;     ~;F7Ib/II        ;  99;   0
303;PP AQL     ;V* PP Aql                ;cC*;19 52 46.5487837843 +12 40 09.002041342;     ~;13.00 ;12.11 ;11.10 ;     ~;~              ;  22;   0
304;OZ CAS     ;V* OZ Cas                ;cC*;01 14 19.5350329313 +62 02 38.528477287;     ~;15.64 ;     ~;     ~;     ~;~              ;  18;   0
305;OT PER     ;V* OT Per                ;cC*;04 38 37.9378681324 +47 44 25.008084048;     ~;15.71 ;     ~;     ~;     ~;~              ;  33;   0
306;OP CAS     ;V* OP Cas                ;cC*;00 46 29.8928316625 +63 32 35.794697538;     ~;13.78 ;11.91 ;     ~;     ~;~              ;  28;   0
307;OO PUP     ;V* OO Pup                ;cC*;07 33 38.8031725073 -16 19 01.570346658;     ~;     ~;     ~;     ~;     ~;~              ;   6;   0
308;OO CEN     ;V* OO Cen                ;cC*;13 26 30.0709247164 -63 09 45.425744560;     ~;13.78 ;     ~;     ~;     ~;~              ;  34;   0
309;NY CAS     ;V* NY Cas                ;cC*;00 40 23.1965486106 +58 37 06.678600614;     ~;     ~;     ~;     ~;     ~;~              ;  29;   0
310;NW PAV     ;V* NW Pav                ;cC*;18 13 34.5647789369 -65 14 13.390136096;     ~;12.78 ;12.13 ;     ~;10.86 ;~              ;  15;   0
311;QT CRA     ;V* QT CrA                ;LP*;18 09 12.3862926607 -40 12 13.187467857;     ~;12.29 ;11.40 ;     ~;     ~;M              ;  20;   0
312;QQ PER     ;V* QQ Per                ;cC*;02 54 40.3969908370 +51 49 28.676583863;     ~;     ~;     ~;     ~;     ~;~              ;  26;   0
313;PZ AQL     ;V* PZ Aql                ;WV*;18 55 56.0445635718 -02 52 47.036875186;     ~;13.13 ;11.79 ;     ~;     ~;F5             ;  26;   0
314;PW CAS     ;V* PW Cas                ;cC*;23 25 58.4750720772 +61 16 00.613978742;     ~;     ~;13.061;     ~;     ~;F              ;  22;   0
315;QZ NOR     ;V* QZ Nor                ;cC*;16 11 20.4661902809 -54 21 14.826048900;10.08 ; 9.53 ; 8.71 ; 8.66 ;     ~;F6I            ; 112;   0
316;QY CYG     ;V* QY Cyg                ;WV*;19 58 51.5386790606 +37 38 50.136522435;     ~;14.90 ;     ~;     ~;     ~;~              ;  16;   0
317;QY CEN     ;V* QY Cen                ;cC*;14 08 17.1302376200 -61 44 11.134620145;     ~;14.91 ;12.50 ;     ~; 9.347;~              ;  42;   0
318;R CRU      ;V* R Cru                 ;cC*;12 23 37.6883962336 -61 37 44.856977549; 7.41 ; 7.00 ; 6.42 ;     ~;     ~;F7Ib/II        ; 137;   0
319;R MUS      ;V* R Mus                 ;cC*;12 42 05.0256100705 -69 24 27.196561465; 7.65 ; 7.11 ; 6.33 ;     ~; 5.499;F7Ib           ; 140;   0
320;R TRA      ;V* R TrA                 ;cC*;15 19 45.7123101563 -66 29 45.741722140; 7.29 ; 6.96 ; 6.39 ;     ~; 5.844;F7Ib/II        ; 164;   0
321;RR LAC     ;V* RR Lac                ;cC*;22 41 26.5258632443 +56 25 58.029719396;     ~; 9.68 ; 8.87 ;     ~; 7.786;K0             ; 155;   0
322;RS PAV     ;V* RS Pav                ;WV*;18 07 22.0062810248 -58 57 42.045618836;     ~;11.36 ;10.10 ;     ~;     ~;Ke             ;  21;   0
323;RS NOR     ;V* RS Nor                ;cC*;16 05 09.9561664557 -53 55 09.888275680;     ~;10.95 ;10.09 ;     ~;     ~;F6             ;  55;   0
324;RS CAS     ;V* RS Cas                ;cC*;23 37 16.0605712200 +62 25 44.370924552;     ~;11.4  ;10.06 ;     ~; 8.233;F7-G1Ib        ;  94;   0
325;RR MIC     ;V* RR Mic                ;WV*;21 15 49.3193445352 -43 11 39.999594253;     ~;11.75 ;11.24 ;     ~;     ~;~              ;  19;   0
326;RS PUP     ;V* RS Pup                ;cC*;08 13 04.2157137938 -34 34 42.691837063; 8.89 ; 8.00 ; 6.70 ;     ~; 5.453;F8Iab          ; 309;   1
327;RU CAM     ;V* RU Cam                ;WV*;07 21 44.1178182168 +69 40 14.725818530;     ~; 9.95 ; 8.60 ; 8.84 ;     ~;C0,1_CH4       ; 139;   0
328;RT TRA     ;V* RT TrA                ;WV*;16 34 30.8912790319 -63 08 00.815992650;     ~;10.42 ; 9.70 ;     ~;     ~;G2Ib-II:       ;  54;   0
329;RT MUS     ;V* RT Mus                ;cC*;11 44 32.8829776774 -67 18 18.886572773;     ~; 9.69 ; 8.57 ;     ~;     ~;F8             ;  89;   0
330;RV NOR     ;V* RV Nor                ;Ce*;16 04 10.1272819246 -56 04 47.955263402;     ~;12.50 ;     ~;     ~;     ~;K1             ;  10;   0
331;RU SCT     ;V* RU Sct                ;cC*;18 41 56.3817508914 -04 06 38.375080426;     ~;10.17 ; 8.82 ;     ~;     ~;G5             ; 177;   0
332;RW CAM     ;V* RW Cam                ;cC*;03 54 21.7725406302 +58 39 11.966964971;     ~;10.02 ; 8.72 ;     ~; 7.054;F8             ; 153;   0
333;RV SCO     ;V* RV Sco                ;cC*;16 58 19.74983 -33 36 32.7842          ; 7.79 ; 7.37 ; 6.61 ;     ~; 5.909;G0Ib           ; 170;   1
334;RX LIB     ;V* RX Lib                ;WV*;15 42 00.0542433613 -20 46 45.905716461;     ~;     ~;     ~;     ~;     ~;F9             ;  21;   0
335;RX CAM     ;V* RX Cam                ;cC*;04 04 58.4642958819 +58 39 35.218272520;     ~; 8.85 ; 7.70 ;     ~; 6.233;G2Ib+A0V       ; 176;   0
336;RX AUR     ;V* RX Aur                ;cC*;05 01 23.1881737714 +39 57 37.422344258;     ~; 8.49 ; 7.62 ;     ~; 6.594;G0III          ; 189;   0
