phase,mag_1,err_mag_1,mag_2,err_mag_2
0.351,11.114,0.010,11.129,0.013
0.400,11.145,0.011,11.168,0.012
0.422,11.161,0.011,11.168,0.012
0.477,11.188,0.011,11.204,0.012
0.509,11.203,0.011,11.154,0.012
0.554,11.197,0.011,11.174,0.012
0.591,11.208,0.011,11.167,0.012
0.632,11.173,0.011,11.120,0.012
0.675,11.143,0.011,11.100,0.011
0.726,11.120,0.011,11.089,0.012
0.759,11.119,0.010,11.070,0.011
0.809,11.096,0.010,11.059,0.012
0.863,11.046,0.011,11.016,0.011
0.904,11.033,0.011,11.013,0.011
0.949,11.018,0.011,10.986,0.011
0.963,11.020,0.011,10.993,0.011
0.027,11.014,0.011,11.011,0.011
0.072,10.998,0.011,10.994,0.011
0.094,11.007,0.011,10.995,0.011
0.159,11.011,0.011,11.021,0.011
0.208,11.041,0.010,11.047,0.011
0.244,11.063,0.010,11.053,0.012
0.259,11.062,0.011,11.069,0.011
