phase,mag_1,err_mag_1,mag_2,err_mag_2
0.012,10.876,0.010,10.928,0.011
0.060,10.851,0.011,10.835,0.011
0.097,10.809,0.010,10.799,0.011
0.153,10.734,0.010,10.740,0.010
0.180,10.715,0.010,10.716,0.010
0.221,10.676,0.010,10.705,0.010
0.264,10.638,0.010,10.683,0.010
0.312,10.607,0.009,10.695,0.010
0.367,10.579,0.010,10.693,0.010
0.393,10.582,0.010,10.680,0.010
0.439,10.576,0.009,10.710,0.011
0.480,10.586,0.009,10.703,0.010
0.531,10.594,0.009,10.710,0.010
0.555,10.585,0.010,10.733,0.010
0.596,10.589,0.009,10.751,0.010
0.644,10.642,0.010,10.775,0.010
0.680,10.659,0.009,10.778,0.010
0.720,10.679,0.009,10.824,0.011
0.769,10.718,0.010,10.859,0.011
0.819,10.769,0.010,10.878,0.011
0.857,10.792,0.010,10.909,0.011
0.897,10.832,0.010,10.954,0.011
0.949,10.868,0.010,10.974,0.011
