Star_ID,parallax_mas,logP,mag_B,err_B,mag_V,err_V,mag_I,err_I,E_B_V,A_V,distance_pc,A_B,A_I,V_abs,B_abs,I_abs
XX Cen,0.5640,1.0400,8.8820,0.0190,7.8550,0.0120,6.7540,0.0080,0.5223,1.6191,1773.0496,2.1049,0.9642,-5.0077,-4.4665,-5.4538
T Mon,0.7330,1.4320,7.4360,0.0220,6.1870,0.0140,5.0050,0.0100,0.5997,1.8590,1364.2565,2.4168,1.1070,-6.3465,-5.6552,-6.7765
TW Nor,0.3620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2762.4309,NaN,NaN,NaN,NaN,NaN
CV Mon,0.6020,0.7310,11.6810,0.0150,10.3140,0.0100,8.6530,0.0060,1.4373,4.4556,1661.1296,5.7924,2.6532,-5.2436,-5.2134,-5.1023
RY Sco,0.7540,1.3080,9.5680,0.0180,8.0370,0.0120,6.2710,0.0080,1.2228,3.7907,1326.2599,4.9280,2.2573,-6.3668,-5.9732,-6.5995
TT Aql,0.9940,1.1380,8.5600,0.0220,7.1850,0.0140,5.7450,0.0090,0.9672,2.9983,1006.0362,3.8979,1.7854,-5.8264,-5.3510,-6.0535
QZ Nor,0.4710,0.5780,9.7820,0.0070,8.8750,0.0040,7.8710,0.0030,1.2364,3.8329,2123.1423,4.9829,2.2824,-6.5928,-6.8358,-6.0463
Y Oph,1.3490,1.2340,7.5730,0.0110,6.1610,0.0070,4.5430,0.0050,0.8138,2.5227,741.2898,3.2796,1.5022,-5.7116,-5.0565,-6.3092
VW Cen,0.2560,1.1770,11.7540,0.0220,10.3060,0.0140,8.8020,0.0090,1.3431,4.1638,3906.2500,5.4131,2.4795,-6.8166,-6.6179,-6.6363
V340 Nor,0.4900,1.0530,NaN,NaN,8.4070,0.0050,NaN,NaN,1.2831,3.9778,2040.8163,5.1713,2.3687,-7.1198,NaN,NaN
GY Sge,0.3460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2890.1734,NaN,NaN,NaN,NaN,NaN
WZ Car,0.2810,1.3620,10.6140,0.0270,9.3430,0.0180,8.0020,0.0110,NaN,NaN,3558.7189,NaN,NaN,NaN,NaN,NaN
