source_id,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,flag,source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_distance
5871922507947292032,1772.459,1680.2356,1880.2909,1770.1842,1701.7865,1847.0278,10033,5871922507947292032,205.07765290606082,-57.613183920666884,0.5516408883784639,0.026197052999999998,7.621872,8.214571000000001,6.876736599999999,XX Cen,205.07768622647626,-57.613178889777096,0.5373,-4.02,-1.131,-18.1,1.9632516652887006E-8
3324535073449061504,1364.2698,1268.9244,1473.8195,1381.3569,1292.9302,1486.2235,10033,3324535073449061504,96.3041691058514,7.085697273129393,0.7140659550466487,0.05174320599999999,6.124317,6.798715,5.2864857,T Mon,96.3041656511753,7.0857114416022,0.5329999999999999,0.769,-3.194,30.7,2.9048870909572095E-8
5981406000300438016,2764.511,2629.8916,2922.2915,2728.8376,2593.8088,2913.037,10033,5981406000300438016,241.23009532876077,-51.953527284315,0.31752188454336144,0.020346707,10.565082,12.008674000000001,9.417015,TW Nor,241.2301111193874,-51.9535146576723,0.3505,-2.194,-2.835,-56.1,3.292226760953427E-8
3127142323596470144,1662.3365,1612.8878,1709.9,1666.2574,1620.2186,1717.8646,10033,3127142323596470144,99.27018871085222,3.06396219476623,0.567490686315382,0.0148260975,9.701135,10.594475,8.769544,CV Mon,99.2701869411314,3.0639656939445,0.4823,0.397,-0.7959999999999999,19.2,3.869658407229911E-8
4041690364529590144,1327.0623,1270.2435,1390.6178,1305.6534,1264.2463,1354.6617,10033,4041690364529590144,267.7181112584579,-33.705676248707995,0.7279370991149399,0.032087274,7.4897914000000005,8.513703,6.4691715,RY Sco,267.71810592978113,-33.7056696297873,0.7975,0.998,-1.48,-18.3,4.122575053850272E-8
4267397694768545920,1005.94025,973.20996,1035.6649,1005.6349,986.30115,1028.7784,10033,4267397694768545920,287.0572892395435,1.2986314478168068,0.9627292503917214,0.022391792,6.7743034,7.5821614,5.906594,TT Aql,287.05729046698764,1.2986517295272,0.8881,-0.272,-4.555,3.0,4.14911374495758E-8
5932565900081831040,2122.7068,2030.9236,2199.1633,2076.0864,2000.133,2155.1792,10033,5932565900081831040,242.83526242559228,-54.35413510060747,0.4591116031656825,0.020244818,8.623737,9.117517999999999,7.946956599999999,QZ Nor,242.835275792837,-54.3541183469166,0.4744,-1.746,-3.763,-40.34,4.1948084787920814E-8
4175017625462647168,741.1514,723.1154,760.8039,751.33765,732.99677,770.00653,10033,4175017625462647168,268.16124433488653,-6.143597122396139,1.3126031176792647,0.03618998,5.6400485,6.557958599999999,4.6863003,Y Oph,268.1612588122961,-6.143576434204401,1.3611,-3.234,-4.646,-7.2,4.452434635684862E-8
5864955727424819200,3909.086,3702.4119,4169.7925,3865.366,3631.2214,4141.4824,10033,5864955727424819200,203.495897627755,-64.05556091565754,0.2386065952421633,0.015768955,9.853758000000001,10.698315,8.964625,VW Cen,203.49595797195718,-64.0555553972233,0.22,-5.93,-1.24,-29.9,4.558550882351888E-8
5932569709575669504,2041.164,1935.1667,2155.2488,2056.5425,1949.4536,2142.9126,10033,5932569709575669504,243.32248330227355,-54.23489685835529,0.4664669468312262,0.025073968,8.036095,8.69774,7.251307000000001,V340 Nor,243.32249931578252,-54.234885652174995,0.48700000000000004,-2.099,-2.513,-40.7,4.8123591267079606E-8
1825211056159949440,2892.8816,2700.919,3059.4158,2935.3828,2758.2483,3126.0537,10033,1825211056159949440,293.80677127847923,19.202388023896862,0.2957796895240156,0.022365742999999997,8.8266,10.446804,7.660206,GY Sge,293.8067782966725,19.2024072699351,0.2361,-1.4880000000000002,-4.32,10.74,4.823435563884624E-8
5338182833266967680,3555.4543,3287.6157,3884.9336,3551.2666,3332.7354,3849.1616,10033,5338182833266967680,163.82797577819846,-60.939976495369166,0.27053058848420364,0.018355928,8.997776,9.702198,8.172882000000001,WZ Car,163.8280302258785,-60.9399864468317,0.2836,-5.944,2.23,-15.1,4.959633681869919E-8
2058374144759464064,2545.7874,2427.7375,2672.0283,2542.9983,2451.362,2646.6885,10033,2058374144759464064,301.11066128539693,34.11224946615463,0.36652193625978186,0.016361248000000002,8.587173,9.376083,7.694259599999999,CD Cyg,301.11067201953966,34.1122742376265,0.3808,-2.001,-5.562,-12.5,5.183005733949583E-8
4514145288240593408,520.95123,506.50043,536.8489,520.9257,504.5881,540.2288,10033,4514145288240593408,284.56144590723324,17.360872330389174,1.9057429081651682,0.071183674,5.170657,5.5995230000000005,4.5438147,FF Aql,284.56145092407365,17.360915441721946,1.8098,-1.068,-9.693,-15.92,5.2088308572475835E-8
1977074811892425600,2324.2769,2263.9756,2381.1375,2302.9824,2246.676,2365.927,10033,1977074811892425600,332.26206158309327,51.04584489597106,0.4085105013563146,0.012896581,9.062985000000001,9.470252,8.430667,Y Lac,332.2620830042727,51.04585643589971,0.4034,-3.022,-2.588,-22.9,5.236999276107967E-8
4085919765884068736,837.2984,822.83405,854.3135,841.9482,828.4135,857.0175,10033,4085919765884068736,282.7494724886191,-20.295252984445806,1.15155925147196,0.023719946000000002,6.5842776,7.136820299999999,5.8780894,BB Sgr,282.7494710331397,-20.2952300883022,1.2485,0.305,-5.14,6.0,5.257920152163664E-8
