phase,mag_1,err_mag_1,mag_2,err_mag_2
0.133,11.508,0.013,11.608,0.014
0.168,11.546,0.013,11.640,0.014
0.211,11.592,0.013,11.694,0.015
0.247,11.658,0.013,11.732,0.015
0.276,11.687,0.014,11.779,0.015
0.325,11.761,0.015,11.847,0.016
0.374,11.808,0.015,11.839,0.016
0.406,11.857,0.015,11.879,0.017
0.443,11.879,0.016,11.861,0.016
0.496,11.706,0.014,11.691,0.015
0.531,11.653,0.014,11.655,0.015
0.568,11.623,0.013,11.581,0.014
0.609,11.553,0.013,11.532,0.014
0.653,11.513,0.012,11.474,0.013
0.707,11.456,0.012,11.417,0.013
0.746,11.425,0.012,11.411,0.013
0.782,11.403,0.012,11.384,0.013
0.840,11.390,0.013,11.404,0.013
0.873,11.383,0.012,11.436,0.013
0.934,11.388,0.012,11.430,0.013
0.951,11.387,0.012,11.464,0.013
0.985,11.413,0.012,11.483,0.014
0.039,11.424,0.012,11.506,0.014
